protein_id,nt_length,protein_classification
QXV75006.1,495,packaging;
QXV75007.1,1836,packaging;
QXV75008.1,1983,infection;
QXV75009.1,492,infection;
QXV75010.1,1572,infection;
QXV75011.1,234,assembly;
QXV75012.1,426,assembly;
QXV75013.1,642,lysis;assembly;
QXV75014.1,813,assembly;
QXV75015.1,1569,assembly;
QXV75016.1,270,unknown
QXV75017.1,1284,assembly;infection;
QXV75018.1,999,replication;
QXV75019.1,252,unknown
QXV75020.1,207,unknown
QXV75021.1,1419,assembly;
QXV75022.1,669,lysis;regulation;assembly;
QXV75023.1,1515,replication;
QXV75024.1,234,unknown
QXV75025.1,168,unknown
QXV75026.1,225,unknown
QXV75027.1,495,integration;replication;
QXV75028.1,399,infection;
QXV75029.1,627,infection;
QXV75030.1,753,lysis;assembly;infection;
QXV75031.1,1173,infection;
QXV75032.1,534,infection;
QXV75033.1,1773,infection;
QXV75034.1,1110,infection;
QXV75035.1,963,infection;
QXV75036.1,294,unknown
QXV75037.1,2088,replication;
QXV75038.1,189,unknown
QXV75039.1,1494,replication;
QXV75040.1,270,unknown
QXV75041.1,816,unknown
QXV75042.1,459,unknown
QXV75043.1,213,unknown
QXV75044.1,195,assembly;
QXV75045.1,288,unknown
QXV75046.1,366,unknown
QXV75047.1,369,unknown
QXV75048.1,180,unknown
QXV75049.1,249,lysis;regulation;
QXV75050.1,333,assembly;infection;
QXV75051.1,297,unknown
QXV75052.1,582,unknown
QXV75053.1,993,unknown
QXV75054.1,126,unknown
QXV75055.1,237,unknown
QXV75056.1,276,unknown
QXV75057.1,225,unknown
QXV75058.1,192,unknown
QXV75059.1,900,unknown
QXV75060.1,192,unknown
QXV75061.1,300,unknown
QXV75062.1,219,unknown
QXV75063.1,291,unknown
QXV75064.1,357,unknown
QXV75065.1,501,regulation;
QXV75066.1,1125,replication;infection;
QXV75067.1,411,packaging;
QXV75068.1,1179,unknown
QXV75069.1,2256,replication;
QXV75070.1,255,unknown
QXV75071.1,861,unknown
QXV75072.1,348,unknown
QXV75073.1,618,replication;
QXV75074.1,243,unknown
QXV75075.1,243,unknown
QXV75076.1,387,unknown
QXV75077.1,903,replication;
QXV75078.1,654,replication;
QXV75079.1,339,regulation;
QXV75080.1,288,replication;
QXV75081.1,918,unknown
QXV75082.1,3834,infection;
QXV75083.1,1125,infection;
QXV75084.1,657,infection;
QXV75085.1,3252,infection;
QXV75086.1,780,assembly;infection;
QXV75087.1,660,lysis;
QXV75088.1,273,unknown
QXV75089.1,162,unknown
QXV75090.1,300,unknown
QXV75091.1,228,unknown
QXV75092.1,282,unknown
QXV75093.1,462,unknown
QXV75094.1,330,unknown
QXV75095.1,633,regulation;
QXV75096.1,216,unknown
QXV75097.1,1326,replication;
QXV75098.1,141,unknown
QXV75099.1,147,unknown
QXV75100.1,447,unknown
QXV75101.1,201,unknown
QXV75102.1,111,unknown
QXV75103.1,NA,NA
QXV75104.1,264,unknown
QXV75105.1,477,packaging;
QXV75106.1,288,unknown
QXV75107.1,936,lysis;
QXV75108.1,2214,unknown
QXV75109.1,201,unknown
QXV75110.1,1101,unknown
QXV75111.1,1818,replication;
QXV75112.1,447,unknown
QXV75113.1,180,unknown
QXV75114.1,411,unknown
QXV75115.1,228,unknown
QXV75116.1,525,unknown
QXV75117.1,420,unknown
QXV75118.1,519,unknown
QXV75119.1,495,unknown
QXV75120.1,678,unknown
QXV75121.1,1314,replication;
QXV75122.1,312,unknown
QXV75123.1,750,unknown
QXV75124.1,609,unknown
QXV75125.1,582,unknown
QXV75126.1,165,unknown
QXV75127.1,180,unknown
QXV75128.1,465,regulation;
QXV75129.1,201,unknown
QXV75130.1,228,unknown
QXV75131.1,237,unknown
QXV75132.1,225,unknown
QXV75133.1,174,unknown
QXV75134.1,522,unknown
QXV75135.1,201,unknown
QXV75136.1,1023,replication;
QXV75137.1,468,unknown
QXV75138.1,198,unknown
QXV75139.1,651,unknown
QXV75140.1,294,unknown
QXV75141.1,249,assembly;infection;
QXV75142.1,369,unknown
QXV75143.1,213,unknown
QXV75144.1,192,unknown
QXV75145.1,243,unknown
QXV75146.1,375,unknown
QXV75147.1,1443,replication;
QXV75148.1,342,unknown
QXV75149.1,1173,integration;replication;
QXV75150.1,549,unknown
QXV75151.1,900,unknown
QXV75152.1,717,unknown
QXV75153.1,240,unknown
QXV75154.1,1170,unknown
QXV75155.1,402,unknown
QXV75156.1,1686,unknown
QXV75157.1,144,unknown
QXV75158.1,636,unknown
QXV75159.1,2712,replication;
QXV75160.1,378,regulation;
QXV75161.1,564,replication;
QXV75162.1,963,replication;
QXV75163.1,687,replication;
QXV75164.1,417,replication;
QXV75165.1,189,unknown
QXV75166.1,1647,packaging;
QXV75167.1,240,unknown
QXV75168.1,258,unknown
QXV75169.1,1020,packaging;
QXV75170.1,174,unknown
QXV75171.1,207,unknown
QXV75172.1,324,unknown
QXV75173.1,216,unknown
QXV75174.1,558,regulation;
QXV75175.1,270,unknown
QXV75176.1,228,unknown
QXV75177.1,333,unknown
QXV75178.1,240,unknown
QXV75179.1,201,unknown
QXV75180.1,135,unknown
QXV75181.1,294,unknown
QXV75182.1,249,unknown
QXV75183.1,183,unknown
QXV75184.1,324,unknown
QXV75185.1,318,unknown
QXV75186.1,216,unknown
QXV75187.1,102,unknown
QXV75188.1,471,replication;
QXV75189.1,1818,replication;
QXV75190.1,474,integration;packaging;
QXV75191.1,555,lysis;regulation;
QXV75192.1,168,unknown
QXV75193.1,357,unknown
QXV75194.1,297,unknown
QXV75195.1,264,assembly;
QXV75196.1,414,assembly;
QXV75197.1,306,unknown
QXV75198.1,951,unknown
QXV75199.1,960,unknown
QXV75200.1,996,unknown
QXV75201.1,528,unknown
QXV75202.1,288,unknown
QXV75203.1,981,unknown
QXV75204.1,282,unknown
QXV75205.1,990,unknown
QXV75206.1,474,unknown
QXV75207.1,531,unknown
QXV75208.1,180,unknown
QXV75209.1,111,unknown
QXV75210.1,207,unknown
QXV75211.1,180,unknown
QXV75212.1,303,unknown
QXV75213.1,213,unknown
QXV75214.1,582,unknown
QXV75215.1,183,unknown
QXV75216.1,207,unknown
QXV75217.1,468,regulation;
QXV75218.1,348,unknown
QXV75219.1,543,unknown
QXV75220.1,459,packaging;
QXV75221.1,300,unknown
QXV75222.1,246,unknown
QXV75223.1,225,unknown
QXV75224.1,363,unknown
QXV75225.1,309,unknown
QXV75226.1,540,unknown
QXV75227.1,303,unknown
QXV75228.1,315,unknown
QXV75229.1,261,unknown
QXV75230.1,414,packaging;
QXV75231.1,282,unknown
QXV75232.1,501,lysis;
QXV75233.1,474,unknown
QXV75234.1,492,unknown
QXV75235.1,687,unknown
QXV75236.1,306,unknown
QXV75237.1,957,unknown
QXV75238.1,252,unknown
QXV75239.1,198,unknown
QXV75240.1,273,unknown
QXV75241.1,306,unknown
QXV75242.1,360,unknown
QXV75243.1,396,unknown
QXV75244.1,603,unknown
QXV75245.1,594,unknown
QXV75246.1,228,unknown
QXV75247.1,165,unknown
QXV75248.1,306,unknown
QXV75249.1,465,unknown
QXV75250.1,345,unknown
QXV75251.1,516,unknown
QXV75252.1,291,unknown
QXV75253.1,363,unknown
QXV75254.1,207,unknown
QXV75255.1,288,regulation;packaging;assembly;
QXV75256.1,459,unknown
QXV75257.1,231,infection;
QXV75258.1,735,unknown
QXV75259.1,591,infection;
QXV75260.1,822,unknown
QXV75261.1,450,assembly;
QXV75262.1,576,infection;
QXV75263.1,1734,lysis;infection;
QXV75264.1,474,unknown
QXV75265.1,294,infection;
QXV75266.1,1971,infection;
QXV75267.1,3099,infection;
QXV75268.1,1005,infection;
QXV75269.1,864,infection;
QXV75270.1,1815,infection;
QXV75271.1,660,infection;
QXV75272.1,1551,infection;
QXV75273.1,1443,assembly;
QXV75274.1,927,assembly;
QXV75275.1,765,assembly;
QXV75276.1,822,infection;
QXV75552.1,399,unknown
QXV75553.1,288,unknown
QXV75554.1,1548,packaging;
QXV75555.1,1557,unknown
QXV75556.1,420,unknown
QXV75557.1,978,unknown
QXV75558.1,390,assembly;
QXV75559.1,1008,assembly;
QXV75560.1,846,unknown
QXV75561.1,621,unknown
QXV75562.1,465,unknown
QXV75563.1,426,unknown
QXV75564.1,552,unknown
QXV75565.1,1377,infection;
QXV75566.1,474,assembly;
QXV75567.1,474,unknown
QXV75568.1,249,unknown
QXV75569.1,2337,assembly;
QXV75570.1,885,unknown
QXV75571.1,381,unknown
QXV75572.1,1005,unknown
QXV75573.1,678,assembly;infection;
QXV75574.1,717,unknown
QXV75575.1,669,infection;
QXV75576.1,2598,infection;
QXV75577.1,3813,infection;
QXV75578.1,591,unknown
QXV75579.1,552,unknown
QXV75580.1,426,unknown
QXV75581.1,3840,assembly;
QXV75582.1,1491,infection;
QXV75583.1,687,unknown
QXV75584.1,2073,unknown
QXV75585.1,1041,infection;
QXV75586.1,585,assembly;infection;
QXV75587.1,315,unknown
QXV75588.1,1044,infection;
QXV75589.1,267,unknown
QXV75590.1,1746,unknown
QXV75591.1,5628,unknown
QXV75592.1,201,unknown
QXV75593.1,408,unknown
QXV75594.1,381,unknown
QXV75595.1,171,unknown
QXV75596.1,474,unknown
QXV75597.1,276,unknown
QXV75598.1,567,unknown
QXV75599.1,246,unknown
QXV75600.1,450,unknown
QXV75601.1,234,unknown
QXV75602.1,264,unknown
QXV75603.1,267,unknown
QXV75604.1,1461,unknown
QXV75605.1,978,unknown
QXV75606.1,900,unknown
QXV75607.1,273,unknown
QXV75608.1,357,unknown
QXV75609.1,258,unknown
QXV75610.1,381,unknown
QXV75611.1,270,unknown
QXV75612.1,1185,unknown
QXV75613.1,381,unknown
QXV75614.1,501,assembly;infection;
QXV75615.1,1983,unknown
QXV75616.1,1206,unknown
QXV75617.1,1371,replication;
QXV75618.1,342,unknown
QXV75619.1,303,unknown
QXV75620.1,396,unknown
QXV75621.1,483,unknown
QXV75622.1,765,unknown
QXV75623.1,2079,replication;
QXV75624.1,3620,replication;
QXV75625.1,507,packaging;
QXV75626.1,285,unknown
QXV75627.1,228,unknown
QXV75628.1,195,unknown
QXV75629.1,372,unknown
QXV75630.1,255,unknown
QXV75631.1,294,unknown
QXV75632.1,390,unknown
QXV75633.1,303,unknown
QXV75634.1,246,unknown
QXV75635.1,369,unknown
QXV75636.1,1227,unknown
QXV75637.1,417,unknown
QXV75638.1,198,unknown
QXV75639.1,366,unknown
QXV75640.1,459,unknown
QXV75641.1,201,unknown
QXV75642.1,195,unknown
QXV75643.1,192,unknown
QXV75644.1,333,unknown
QXV75645.1,246,unknown
QXV75646.1,198,unknown
QXV75647.1,330,unknown
QXV75648.1,NA,NA
QXV75649.1,NA,NA
QXV75650.1,198,unknown
QXV75651.1,399,unknown
QXV75652.1,396,unknown
QXV75653.1,120,unknown
QXV75654.1,342,unknown
QXV75655.1,246,unknown
QXV75656.1,354,unknown
QXV75657.1,198,unknown
QXV75658.1,261,unknown
QXV75659.1,624,unknown
QXV75660.1,381,unknown
QXV75661.1,372,unknown
QXV75662.1,222,unknown
QXV75663.1,120,unknown
QXV75664.1,201,unknown
QXV75665.1,300,unknown
QXV75666.1,351,unknown
QXV75667.1,285,unknown
QXV75668.1,234,unknown
